SIGNAL_SCORE_THRESHOLD,SPRING_DROP_PCT,SPRING_BOUNCE_PCT,VOLUME_MULTIPLIER,STOP_LOSS_PCT,total_trades,win_rate,profit_factor,max_drawdown,final_capital,total_return_pct,max_loss_streak
55,0.003,0.0015,2.0,0.003,359,0.2563,1.023,0.3885,10742.19,7.42,19
55,0.003,0.0015,2.0,0.005,359,0.2451,0.965,0.4744,8931.45,-10.69,21
55,0.003,0.0015,2.0,0.007,359,0.273,1.0036,0.3444,10097.18,0.97,32
55,0.003,0.002,1.3,0.003,319,0.2571,1.029,0.3566,10805.99,8.06,19
55,0.003,0.002,1.3,0.005,319,0.2476,0.9809,0.4567,9462.14,-5.38,19
55,0.003,0.002,1.3,0.007,319,0.2633,0.9682,0.3682,9229.69,-7.7,30
55,0.003,0.002,1.5,0.003,319,0.2571,1.029,0.3566,10805.99,8.06,19
55,0.003,0.002,1.5,0.005,319,0.2476,0.9809,0.4567,9462.14,-5.38,19
55,0.003,0.002,1.5,0.007,319,0.2633,0.9682,0.3682,9229.69,-7.7,30
55,0.003,0.002,1.8,0.003,319,0.2571,1.029,0.3566,10805.99,8.06,19
55,0.003,0.002,1.8,0.005,319,0.2476,0.9809,0.4567,9462.14,-5.38,19
55,0.003,0.002,1.8,0.007,319,0.2633,0.9682,0.3682,9229.69,-7.7,30
55,0.003,0.002,2.0,0.003,319,0.2571,1.029,0.3566,10805.99,8.06,19
55,0.003,0.002,2.0,0.005,319,0.2476,0.9809,0.4567,9462.14,-5.38,19
55,0.003,0.002,2.0,0.007,319,0.2633,0.9682,0.3682,9229.69,-7.7,30
55,0.003,0.0025,1.3,0.003,294,0.2449,0.9736,0.4284,9348.99,-6.51,19
55,0.003,0.0025,1.3,0.005,294,0.2415,0.9547,0.4775,8861.22,-11.39,33
55,0.003,0.0025,1.3,0.007,294,0.2721,1.0053,0.3862,10127.43,1.27,26
55,0.003,0.0025,1.5,0.003,294,0.2449,0.9736,0.4284,9348.99,-6.51,19
55,0.003,0.0025,1.5,0.005,294,0.2415,0.9547,0.4775,8861.22,-11.39,33
55,0.003,0.0025,1.5,0.007,294,0.2721,1.0053,0.3862,10127.43,1.27,26
55,0.003,0.0025,1.8,0.003,294,0.2449,0.9736,0.4284,9348.99,-6.51,19
55,0.003,0.0025,1.8,0.005,294,0.2415,0.9547,0.4775,8861.22,-11.39,33
55,0.003,0.0025,1.8,0.007,294,0.2721,1.0053,0.3862,10127.43,1.27,26
55,0.003,0.0025,2.0,0.003,294,0.2449,0.9736,0.4284,9348.99,-6.51,19
55,0.003,0.0025,2.0,0.005,294,0.2415,0.9547,0.4775,8861.22,-11.39,33
55,0.003,0.0025,2.0,0.007,294,0.2721,1.0053,0.3862,10127.43,1.27,26
